ID,REGION_PARENT,REGION_CHILD,NX,NY
1,충청북도,괴산군,74,111
2,충청북도,단양군,84,115
3,충청북도,보은군,73,103
4,충청북도,영동군,74,97
5,충청북도,옥천군,71,99
6,충청북도,음성군,72,113
7,충청북도,제천시,81,118
8,충청북도,증평군,71,110
9,충청북도,진천군,68,111
10,충청북도,청주시상당구,69,106
11,충청북도,청주시서원구,69,107
12,충청북도,청주시청원구,69,107
13,충청북도,청주시흥덕구,67,106
14,충청북도,충주시,76,114
15,충청남도,계룡시,65,99
16,충청남도,공주시,63,102
17,충청남도,금산군,69,95
18,충청남도,논산시,62,97
19,충청남도,당진시,54,112
20,충청남도,보령시,54,100
21,충청남도,부여군,59,99
22,충청남도,서산시,51,110
23,충청남도,서천군,55,94
24,충청남도,아산시,60,110
25,충청남도,예산군,58,107
26,충청남도,천안시동남구,63,110
27,충청남도,천안시서북구,63,112
28,충청남도,청양군,57,103
29,충청남도,태안군,48,109
30,충청남도,홍성군,55,106
31,제주특별자치도,서귀포시,52,33
32,제주특별자치도,제주시,53,38
33,전라북도,고창군,56,80
34,전라북도,군산시,56,92
35,전라북도,김제시,59,88
36,전라북도,남원시,68,80
37,전라북도,무주군,72,93
38,전라북도,부안군,56,87
39,전라북도,순창군,63,79
40,전라북도,완주군,63,89
41,전라북도,익산시,60,91
42,전라북도,임실군,66,84
43,전라북도,장수군,70,85
44,전라북도,전주시덕진구,63,89
45,전라북도,전주시완산구,63,89
46,전라북도,정읍시,58,83
47,전라북도,진안군,68,88
48,전라남도,강진군,57,63
49,전라남도,고흥군,66,62
50,전라남도,곡성군,66,77
51,전라남도,광양시,73,70
52,전라남도,구례군,69,75
53,전라남도,나주시,56,71
54,전라남도,담양군,61,78
55,전라남도,목포시,50,67
56,전라남도,무안군,52,71
57,전라남도,보성군,62,66
58,전라남도,순천시,70,70
59,전라남도,신안군,50,66
60,전라남도,여수시,73,66
61,전라남도,영광군,52,77
62,전라남도,영암군,56,66
63,전라남도,완도군,57,56
64,전라남도,장성군,57,77
65,전라남도,장흥군,59,64
66,전라남도,진도군,48,59
67,전라남도,함평군,52,72
68,전라남도,해남군,54,61
69,전라남도,화순군,61,72
70,인천광역시,강화군,51,130
71,인천광역시,계양구,56,126
72,인천광역시,남동구,56,124
73,인천광역시,동구,54,125
74,인천광역시,미추홀구,54,124
75,인천광역시,부평구,55,125
76,인천광역시,서구,55,126
77,인천광역시,연수구,55,123
78,인천광역시,옹진군,54,124
79,인천광역시,중구,54,125
80,울산광역시,남구,102,84
81,울산광역시,동구,104,83
82,울산광역시,북구,103,85
83,울산광역시,울주군,101,84
84,울산광역시,중구,102,84
85,세종특별자치시,세종특별자치시,66,103
86,서울특별시,강남구,61,126
87,서울특별시,강동구,62,126
88,서울특별시,강북구,61,128
89,서울특별시,강서구,58,126
90,서울특별시,관악구,59,125
91,서울특별시,광진구,62,126
92,서울특별시,구로구,58,125
93,서울특별시,금천구,59,124
94,서울특별시,노원구,61,129
95,서울특별시,도봉구,61,129
96,서울특별시,동대문구,61,127
97,서울특별시,동작구,59,125
98,서울특별시,마포구,59,127
99,서울특별시,서대문구,59,127
100,서울특별시,서초구,61,125
101,서울특별시,성동구,61,127
102,서울특별시,성북구,61,127
103,서울특별시,송파구,62,126
104,서울특별시,양천구,58,126
105,서울특별시,영등포구,58,126
106,서울특별시,용산구,60,126
107,서울특별시,은평구,59,127
108,서울특별시,종로구,60,127
109,서울특별시,중구,60,127
110,서울특별시,중랑구,62,128
111,부산광역시,강서구,96,76
112,부산광역시,금정구,98,77
113,부산광역시,기장군,100,77
114,부산광역시,남구,98,75
115,부산광역시,동구,98,75
116,부산광역시,동래구,98,76
117,부산광역시,부산진구,97,75
118,부산광역시,북구,96,76
